Período,Região,Nº Receitas Eletrónicas Dispensadas,Nº Receitas Manuais Dispensadas,Valor Comparticipado pelo SNS
2021-08,ARS Alentejo,303019,7198,6620753.0
2021-08,ARS Centro,1080844,19640,24451703.77
2021-09,ARS Algarve,234538,6649,5283806.74
2021-11,ARS Alentejo,326920,8127,7087999.98
2021-12,ARS Norte,2822639,45405,49590712.08
2022-03,ARS Alentejo,392419,8388,7505626.83
2022-03,ARS Lisboa e Vale do Tejo,2537125,60344,51196577.74
2014-01,Região de Saúde do Norte,2413935,108453,37756858.16
2014-03,Região de Saúde LVT,2248381,117496,37427068.89
2014-03,Região de Saúde do Algarve,220525,12247,
2014-05,Região de Saúde do Algarve,224838,11382,
2014-07,Região de Saúde do Centro,1200154,51629,20750621.33
2014-07,Região de Saúde do Alentejo,336247,17725,5975025.74
2014-08,Região de Saúde do Centro,1065732,42353,18575675.59
2014-09,Região de Saúde do Algarve,221970,11220,
2014-10,Região de Saúde do Norte,2437140,110940,38031738.35
2014-10,Região de Saúde do Alentejo,346992,21141,6065711.79
2014-11,Região de Saúde LVT,2164725,116893,36110571.39
2014-11,Região de Saúde do Algarve,214170,10728,
2014-12,Região de Saúde do Algarve,219834,11247,
2015-01,Região de Saúde do Alentejo,345713,18683,5821938.22
2015-02,Região de Saúde do Algarve,217011,11216,
2015-03,Região de Saúde do Norte,2297568,101826,36531114.05
2015-04,Região de Saúde do Centro,1183422,46439,20270405.87
2015-04,Região de Saúde do Algarve,223823,11475,
2015-06,Região de Saúde do Alentejo,330457,15088,5600563.75
2015-09,Região de Saúde do Norte,2247909,88190,35494240.05
2015-10,Região de Saúde do Centro,1300747,50388,21423974.77
2015-10,Região de Saúde do Algarve,239965,11602,
2015-11,Região de Saúde do Norte,2360424,92928,36131885.0
2016-01,Região de Saúde do Norte,2353248,93154,36114814.65
2016-03,Região de Saúde do Algarve,249868,12638,4179374.4
2016-05,Região de Saúde LVT,2287261,114472,38294451.96
2016-06,Região de Saúde do Algarve,216058,15777,4032861.11
2016-06,Região de Saúde LVT,2107921,114455,36658315.05
2016-08,Região de Saúde do Centro,1035846,45211,19872989.62
2016-08,Região de Saúde do Norte,1991853,87675,34713338.43
2016-09,Região de Saúde do Alentejo,286308,19590,5612517.36
2016-10,Região de Saúde do Alentejo,301803,17449,5717502.1
2016-11,Região de Saúde do Alentejo,304220,18973,5782086.12
2017-01,Região de Saúde do Alentejo,315087,15927,5951642.03
2017-03,Região de Saúde do Alentejo,332311,16230,6305302.2
2017-03,Região de Saúde do Algarve,227137,13095,4360536.2
2017-03,Região de Saúde LVT,2144872,118545,41053117.17
2017-04,Região de Saúde do Alentejo,286923,16037,5425942.92
2017-05,Região de Saúde do Centro,1066973,54131,21963455.95
2017-06,Região de Saúde do Algarve,210559,12614,4156174.86
2017-07,Região de Saúde do Alentejo,299722,14556,5898526.0
2017-11,Região de Saúde do Norte,2092387,102138,39217566.8
2017-11,Região de Saúde do Centro,1079804,49483,21960226.9
2017-11,Região de Saúde do Alentejo,310863,18320,5994779.41
2017-12,Região de Saúde do Norte,2009966,104298,37325507.59
2017-12,Região de Saúde LVT,1931165,127629,38090887.19
2018-01,Região de Saúde LVT,2135886,137739,41135413.46
2018-03,Região de Saúde do Alentejo,324956,14066,6135401.13
2018-03,Região de Saúde do Algarve,220657,11780,4336364.31
2018-03,Região de Saúde do Centro,1100418,46109,22286580.75
2018-03,Região de Saúde LVT,2078874,120705,40759078.27
2018-04,Região de Saúde do Norte,2001568,93737,38102899.21
2018-05,ARS Algarve,222713,11884,4377988.16
2018-05,ARS Norte,2062525,97421,39509009.06
2018-07,ARS Algarve,236618,13406,4628452.05
2018-07,ARS Centro,1090571,42649,22791239.6
2018-08,ARS LVT,1802656,91582,36459561.11
2018-09,ARS Alentejo,292910,13028,5689837.2
2018-10,ARS Alentejo,330659,14242,6266877.16
2018-10,ARS Lisboa e Vale do Tejo,2131402,123821,41995277.29
2018-10,ARS Norte,2204544,98168,42300418.63
