Período,Região,Encargos SNS (Ambulatório),Encargos Utentes (Ambulatório),Valor PVP (Ambulatório),Encargos SNS (Genéricos) 
2019-06,Centro,26603101.68999979,13811041.080000386,40414142.770000175,5549702.649999958
2019-06,Lisboa,35313877.38999998,20285196.70000019,55599074.09000017,7828898.680000014
2019-06,Alentejo,4704815.10000001,2498574.3799999747,7203389.479999985,1120024.0799999933
2019-07,Norte,37478629.01000018,20012363.149999917,57490992.16000009,8396197.310000017
2019-08,Lisboa,34724137.85000013,19484959.130000018,54209096.980000146,7678489.689999983
2019-08,Alentejo,4834858.879999992,2536725.669999971,7371584.5499999635,1141751.21
2019-08,Algarve,4514534.030000002,2615751.369999989,7130285.399999991,843884.750000001
2019-09,Norte,33682518.62000007,18115096.93000035,51797615.55000042,7483066.830000092
2019-10,Lisboa,40832009.41999992,23775034.43000018,64607043.8500001,8855347.419999959
2019-11,Norte,36216511.19000022,19822570.009999648,56039081.19999987,7954264.859999981
2019-11,Centro,29191950.46000001,15193404.65000002,44385355.11000003,5970301.030000009
2019-11,Alentejo,5107001.069999996,2682942.0699999873,7789943.139999983,1196389.7499999998
2019-11,Algarve,4334136.260000006,2499505.3799999803,6833641.639999987,809934.5500000012
2019-12,Norte,36289783.62000001,19697933.469999768,55987717.08999978,7948505.19999995
2020-03,Centro,36654376.14999991,18175559.770000547,54829935.920000456,7320248.2999999905
2020-04,Alentejo,4886747.099999965,2437090.3200000394,7323837.420000005,1139437.2700000007
2020-08,Centro,26800459.680000156,13741383.139999576,40541842.81999973,5535855.089999987
2020-10,Norte,37482395.20999993,20801804.480000444,58284199.69000037,8095377.249999988
2020-10,Lisboa,39894867.579999804,23649619.28000038,63544486.860000186,8534726.979999963
2020-11,Norte,36462176.99000034,20013192.720000803,56475369.71000114,7915269.66999999
2020-11,Lisboa,39145732.47999997,22901900.370000035,62047632.85,8424608.52000001
2020-11,Alentejo,5124897.940000029,2727218.4699999774,7852116.410000007,1197717.690000006
2020-12,Alentejo,5147427.28,2670814.13,7818241.41,1207973.8
2021-01,Centro,29624573.37,15092109.36,44716682.73,6114345.92
2021-02,Norte,34150280.0,17959841.0,52110122.0,7517384.0
2021-02,Centro,27490467.0,13957724.0,41448191.0,5705130.0
2021-02,Alentejo,4768079.0,2458387.0,7226466.0,1109885.0
2021-03,Centro,30935771.39,15760779.61,46696551.0,6443720.51
2021-06,Norte,36816334.6,19108287.18,55924621.78,8019472.41
2021-08,Alentejo,5180881.36,2599987.83,7780869.19,1188967.65
2021-09,Norte,38694367.98,20005177.55,58699545.53,8388848.83
2021-09,Lisboa,39852617.65,22048081.51,61900699.16,8518181.65
2021-10,Centro,31836634.88,16231348.3,48067983.18,6435297.51
2021-11,Lisboa,43475064.63,24952691.79,68427756.42,9106431.19
2021-11,Algarve,5001340.22,2803857.97,7805198.19,929262.07
2021-12,Norte,41318622.01,21399756.15,62718378.16,8822664.14
2021-12,Centro,32575486.41,16377604.54,48953090.95,6602092.11
2021-12,Alentejo,5526109.37,2791288.12,8317397.49,1249574.27
2022-02,Lisboa,40189524.29,22145877.87,62335402.16,8528965.47
2022-02,Centro,30052084.16,14944964.98,44997049.14,6113925.54
2022-02,Algarve,4629999.39,2546150.71,7176150.1,867543.77
2022-03,Centro,34416439.22,17264223.44,51680662.66,6997272.74
2011-01,Centro,27262189.4,15749556.939999998,43011746.339999996,5971915.710000001
2011-01,Lisboa,36412281.04000001,22433829.04,58846110.080000006,7971742.53
2011-02,Algarve,3891064.6199999996,2417165.3600000017,6308229.980000001,819396.97
2011-06,Lisboa,39788821.06999999,24492962.73000001,64281783.800000004,8565500.62
2011-07,Lisboa,40515569.7,26816619.14999999,67332188.85,7850086.310000001
2011-07,Norte,34970949.3,21144340.850000016,56115290.15000001,7200163.0
2011-11,Alentejo,5549627.27,3381996.24,8931623.51,1178619.7100000002
2011-11,Centro,28896751.390000004,16922519.52999999,45819270.919999994,5633131.699999999
2011-11,Norte,33452800.089999996,19910349.480000004,53363149.57,6953414.01
2011-12,Lisboa,41153115.63000001,25772683.939999998,66925799.57000001,8103309.16
2011-12,Norte,36260946.099999994,20813641.40000002,57074587.500000015,7601384.649999999
2012-01,Algarve,3845727.300000001,2615773.7999999984,6461501.1,664339.68
2012-03,Lisboa,38078257.89,23593767.359999992,61672025.24999999,7549360.7299999995
2012-03,Norte,33492456.569999997,19177915.51000001,52670372.080000006,7080198.749999999
2012-04,Algarve,3572505.5400000005,2386447.06,5958952.600000001,584260.77
2012-04,Centro,24913379.970000003,14615390.56999999,39528770.53999999,4526643.65
2012-05,Centro,27107286.580000006,14994735.86999999,42102022.449999996,5072232.830000001
2012-07,Lisboa,32609403.069999997,19835488.529999997,52444891.599999994,5933875.640000001
