Período;Região;Valor PVP (Ambulatório);Unidades Dispensadas (Ambulatório);Valor PVP (Genéricos);Unidades Dispensadas (Genéricos);Quota Mercado Genéricos - Valor PVP;Quota Mercado Genéricos - Unidades dispensadas
2015-08;Algarve;6287252.2299999995;17043360;1324220.5599999998;7247998;21.06;42.53
2015-09;Lisboa;54136161.69000001;163982258;13294465.699999997;77108207;24.56;47.02
2015-12;Algarve;6249066.139999999;16663395;1327900.1800000002;7202896;21.25;43.23
2015-12;Norte;50013584.93000001;155916622;12663872.480000002;76411236;25.32;49.01
2016-01;Alentejo;7007755.630000001;21822432;1836777.9;10739204;26.21;49.21
2016-04;Alentejo;7253368.91;23046420;1939393.19;11359909;26.74;49.29
2016-05;Centro;40232968.53;125634113;9634978.67;57683629;23.95;45.91
2016-05;Lisboa;57252066.14000001;174166066;14141226.26;82077924;24.7;47.13
2016-06;Alentejo;7137300.680000001;22722009;1896532.63;11173882;26.57;49.18
2016-07;Lisboa;55815296.89999999;171469882;13821240.7;80868437;24.76;47.16
2016-08;Norte;45790792.74000001;148381643;11886611.81;73014961;25.96;49.21
2016-08;Centro;38488434.339999996;120568932;9199342.6;55445476;23.9;45.99
2016-09;Lisboa;53482208.289999984;162503164;13094209.37;76442757;24.48;47.04
2016-09;Algarve;6088075.780000001;16624679;1285383.55;7094033;21.11;42.67
2016-10;Centro;40669014.239999995;125512172;9530294.329999998;57566745;23.43;45.87
2016-11;Norte;50306177.5;158807652;12641844.06;77666634;25.13;48.91
2016-12;Centro;40536348.91;124179570;9479617.749999998;56755570;23.39;45.7
2016-12;Alentejo;7290850.579999998;22664311;1886510.56;11027178;25.88;48.65
2017-01;Centro;41606460.239999995;127450807;9776135.379999999;58242893;23.5;45.7
2017-01;Lisboa;58024131.64;173165357;13956041.45;80719424;24.05;46.61
2017-01;Algarve;6217148.91;16739496;1301440.44;7112121;20.93;42.49
2017-07;Centro;40687642.34999987;126224771;9705155.439999986;58569418;23.85;46.4
2017-10;Norte;51831039.389999986;162793364;13240774.010000043;80583054;25.55;49.5
2017-11;Norte;51868092.86000069;162494352;13284093.840000108;80302436;25.61;49.41
2017-12;Norte;49414290.8900009;153554183;12747449.639999988;76182122;25.79;49.61
2017-12;Alentejo;7043890.229999997;21957686;1895591.8000000047;10935867;26.91;49.8
2018-01;Lisboa;60044177.87;179004667;15071844.21000001;85262972;25.101258347864547;47.63170336782336
2018-02;Norte;53248545.62;166747395;14005956.62;82894388;26.3029843480634;49.712553530446456
2018-02;Lisboa;54956791.01;164746581;13884014.25;78601383;25.26350974072276;47.710479041747156
2018-03;Norte;52052356.03000013;163385867;13696528.520000076;81669652;26.312984780374105;49.98575060350844
2018-06;Norte;50396241.4300003;158485662;13306136.930000098;79278982;26.403034338348714;50.02281026532229
2018-06;Lisboa;56948233.009999946;171675164;14583131.700000018;82569417;25.607698306353534;48.09630879397325
2018-07;Lisboa;60007027.25000014;182158890;15410457.560000006;87735266;25.68108814288908;48.164141755584915
2018-09;Lisboa;53407904.1799999;160822816;13728104.010000063;77347214;25.704255242318496;48.09467706373205
2018-10;Algarve;6731987.010000017;18084911;1494417.2099999997;7918548;22.198753618807057;43.785385507288375
2018-12;Alentejo;8537575.970000016;26080832;2342203.909999996;13153477;27.434062293913524;50.43350227477406
2019-02;Algarve;6227727.599999992;16615782;1374134.5900000026;7243773;22.064783148190433;43.595739279680004
2019-03;Algarve;6655819.790000006;17704879;1484628.4400000018;7835616;22.30571870696638;44.256817569891325
2019-04;Alentejo;7415750.9600000065;22777578;2008364.569999999;11498280;27.08241661340792;50.4806964111812
2019-05;Lisboa;63845084.82000005;188949662;16114166.53000001;91157513;25.23947861519968;48.244337690320926
2019-05;Alentejo;9354034.400000006;28430949;2532424.479999998;14386694;27.073072128107594;50.6022292818998
2019-05;Algarve;6884727.690000021;18411329;1542581.520000001;8176954;22.405846526661918;44.4126222501374
2019-07;Alentejo;8194330.999999995;25168676;2205874.2100000028;12643525;26.91951557729367;50.23516135691841
2019-07;Algarve;7437395.03000001;20061643;1651661.6000000027;8811639;22.207528218384827;43.92281828562098
2019-08;Norte;51601963.210000835;158339877;13479300.870000016;80671480;26.121682260700556;50.948302808142266
2019-09;Norte;51797615.55000042;158003730;13423695.01999997;80087490;25.91566209653421;50.687088209879605
2019-09;Centro;41748867.12000009;124244697;10070949.54000004;59330113;24.122689391912818;47.75263204996186
