periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2012-01;Algarve;3845727,30;2615773,80;6461501,10;664339,68;3482607,05
2012-03;Lisboa;38078257,89;23593767,36;61672025,25;7549360,73;39581383,24
2012-03;Norte;33492456,57;19177915,51;52670372,08;7080198,75;26682798,70
2012-04;Algarve;3572505,54;2386447,06;5958952,60;584260,77;3256811,21
2012-04;Centro;24913379,97;14615390,57;39528770,54;4526643,65;13086764,24
2012-05;Centro;27107286,58;14994735,87;42102022,45;5072232,83;15461896,76
2012-07;Lisboa;32609403,07;19835488,53;52444891,60;5933875,64;40600984,47
2012-10;Centro;26130579,55;14652841,12;40783420,67;4777849,60;15001663,16
2012-11;Alentejo;4470169,39;2479349,84;6949519,23;938283,14;2569867,54
2012-11;Norte;29210719,46;15895423,87;45106143,33;5964620,52;25238853,84
2012-12;Norte;28917931,30;15495266,41;44413197,71;5950852,10;21206816,13
2013-01;Alentejo;4575169,65;2736728,12;7311897,77;1003118,57;2818753,42
2013-01;Norte;29223919,44;17000389,82;46224309,26;6257859,55;28347134,27
2013-02;Lisboa;29637942,65;18501365,61;48139308,26;6320403,22;37668821,66
2013-03;Centro;23169353,00;13108371,59;36277724,59;4771098,44;14028973,70
2013-06;Centro;23598356,64;13233150,50;36831507,14;4806519,70;12548937,30
2013-09;Lisboa;32468511,97;20007238,59;52475750,56;6829210,18;34813325,11
2013-10;Algarve;3909029,17;2489458,00;6398487,17;705439,62;2743545,80
2013-10;Norte;32252597,02;19427040,04;51679637,06;6933519,32;23255994,19
2013-11;Algarve;3799972,53;2376924,32;6176896,85;687204,42;2544927,08
2013-12;Lisboa;35280489,31;21974032,86;57254522,17;7652549,92;34870060,87
2014-01;Centro;26642385,88;15397204,96;42039590,84;5519870,05;13997446,80
2014-01;Lisboa;36570062,74;23030978,00;59601040,74;7885169,67;37939348,02
2014-01;Norte;32132224,90;18787095,91;50919320,81;7223026,35;27998089,00
2014-02;Centro;23806968,44;13694756,74;37501725,18;4949580,16;12856983,17
2014-02;Lisboa;33233834,17;20822903,34;54056737,51;7195543,09;33479677,05
2014-02;Norte;28893857,01;16768931,26;45662788,27;6506689,03;23981495,71
2014-03;Algarve;3767689,53;2278610,60;6046300,13;705971,53;2994448,05
2014-04;Algarve;3560690,43;2260182,04;5820872,47;658880,16;2853604,06
2014-06;Centro;23758312,44;13673945,91;37432258,35;4949844,63;12940977,07
2014-08;Norte;27414273,56;15869373,86;43283647,42;6283197,64;25217004,13
2014-09;Centro;25125195,00;14645896,92;39771091,92;5294898,46;14278518,04
2014-09;Lisboa;33055360,83;20718410,13;53773770,96;7287873,32;35927312,89
2014-10;Algarve;3861674,71;2421072,31;6282747,02;708953,13;3224342,22
2014-11;Algarve;3627857,31;2216295,99;5844153,30;668808,26;3062561,35
2015-01;Norte;31559895,49;18867549,60;50427445,09;7101744,05;28116454,88
2015-01;Algarve;3827483,15;2373110,53;6200593,68;708589,79;3116593,32
2015-02;Algarve;3537715,56;2180077,94;5717793,50;651062,33;2904452,76
2015-04;Lisboa;34229852,22;21521967,79;55751820,01;7216435,53;39607311,50
2015-04;Alentejo;4627415,45;2709472,12;7336887,57;1042486,22;2978474,14
2015-05;Norte;29665573,00;17402217,06;47067790,06;6729306,30;23653701,88
2015-06;Norte;29396265,51;17017887,02;46414152,53;6667827,16;25330432,74
2015-06;Lisboa;33762198,46;21197955,12;54960153,58;7500953,80;39118008,45
2015-06;Algarve;3750938,72;2308741,17;6059679,89;693380,41;3253788,98
2015-08;Norte;28215557,68;16186343,27;44401900,95;6392244,28;26436038,46
2015-08;Centro;23724230,30;13558427,04;37282657,34;4914300,75;14071312,78
