Período,Região,Valor PVP (Ambulatório),Nº Embalagens (Ambulatório),Preço Médio por Embalagem (Ambulatório),Valor PVP (Genéricos),Nº Embalagens (Genéricos),Preço Médio por Embalagem (Genéricos)
2012-10,Algarve,5988158.97,434334,13.786991048363701,1080497.6699999997,144185,7.493828553594338
2012-10,Centro,40783420.669999994,3324497,12.267546239325828,7866335.9,1147696,6.854023974989893
2012-10,Lisboa,55427046.809999995,4467749,12.406034181866527,10860768.860000001,1600401,6.786279726143636
2012-11,Alentejo,6949519.23,562260,12.35997444242877,1508514.4200000002,218425,6.906326748311778
2012-11,Lisboa,51057445.73,4082000,12.507948488486035,10375617.99,1518055,6.834810326371574
2013-03,Algarve,5570924.949999999,409066,13.618645768653467,1119306.57,147951,7.565386986231928
2013-04,Lisboa,58222422.849999994,4601607,12.652628277469152,12773317.239999998,1778594,7.18169365240184
2013-04,Norte,48686443.74,4027344,12.088970731082322,11209561.12,1596492,7.02137005384305
2013-07,Centro,41213729.81,3279374,12.567560092261512,9195892.05,1249243,7.361171565500068
2013-07,Lisboa,58827045.14000001,4636496,12.687823981731032,13489493.04,1815211,7.431363648633685
2013-07,Norte,49416476.870000005,4083588,12.101239613300853,11892082.650000002,1648232,7.215053857709353
2013-08,Alentejo,7022320.71,557714,12.591257723492687,1754304.5,232087,7.558822769047814
2013-09,Norte,45931672.3,3754780,12.232853136535295,11076299.239999998,1504463,7.362294213948763
2013-11,Norte,48908117.04,4083866,11.975935802007216,11917860.5,1643078,7.253374763705679
2014-01,Algarve,6249033.300000001,465996,13.410057811655037,1324023.15,170777,7.75293599255169
2014-02,Algarve,5706513.819999998,422401,13.509707173988694,1203825.4999999998,154387,7.797453801162013
2014-03,Alentejo,7405736.08,605324,12.234334141715841,1895012.2000000002,256812,7.378986184446211
2014-03,Algarve,6046300.130000001,442521,13.663306667932146,1278201.5299999998,164175,7.785603959189888
2014-03,Lisboa,56438459.59,4561107,12.373851258038894,13523074.0,1850311,7.308541104711586
2014-06,Centro,37432258.35,3014405,12.417793345618788,8735343.669999998,1197790,7.292884119920853
2014-06,Norte,44424457.379999995,3743521,11.867025022699217,11253837.210000003,1576231,7.139713157525771
2014-08,Algarve,6121416.160000001,453576,13.495899606681132,1302050.5000000002,169762,7.669858389981269
2014-09,Alentejo,7241320.85,588048,12.314166275542132,1856305.55,253706,7.316758570944321
2014-10,Algarve,6282747.0200000005,464005,13.540257152401376,1315296.8000000003,172312,7.633228097868983
2014-11,Alentejo,7110888.999999999,585383,12.147412890364086,1831057.9499999997,253314,7.228411970913569
2014-12,Alentejo,7415007.709999998,602503,12.307005458893977,1913514.1099999999,263364,7.265663150620433
2015-01,Alentejo,7574527.279999999,637270,11.885899665761764,1981999.3999999997,279709,7.085933595272228
2015-01,Centro,41558907.80999999,3434046,12.102024204102097,9778671.16,1402589,6.971872130752487
2015-01,Lisboa,58480244.77,4846128,12.067416454951253,14208316.610000001,2022348,7.02565365110258
2015-02,Alentejo,7022577.909999999,589688,11.908972049626241,1826764.09,257148,7.103940493412354
2015-04,Algarve,6077117.41,446621,13.6068778897544,1282965.0700000003,169544,7.567151123012317
2015-04,Lisboa,55750247.93999999,4486715,12.425627199409812,13311604.299999999,1844290,7.217739238406107
2015-05,Algarve,6033281.799999999,445983,13.528053311449089,1275099.6900000002,166868,7.641367368219193
2015-05,Centro,38825002.87,3126342,12.41866784568035,9093343.75,1256317,7.238096555248397
2015-06,Alentejo,7156692.409999999,587361,12.184486899879289,1863139.6799999997,254379,7.3242668616513145
2015-06,Centro,39060278.77,3133299,12.466183013494723,9169108.8,1257622,7.290830472113243
2015-06,Lisboa,54959991.580000006,4415023,12.448404363918378,13390879.059999997,1811333,7.392831169089282
2015-07,Alentejo,7649285.789999998,626101,12.217335206300579,2002166.9400000004,271942,7.362477807767834
2015-07,Lisboa,59193149.57000001,4735564,12.499704273873187,14481088.48,1954585,7.408779091213736
2015-10,Centro,42079606.010000005,3405265,12.357219191457935,9728771.73,1340184,7.259280613706775
2015-11,Lisboa,56175572.330000006,4540405,12.37237037885387,13501100.520000001,1842740,7.326644301420711
2015-12,Centro,41056198.169999994,3262898,12.582740303251892,9623833.659999998,1324460,7.266232019087023
